ranks,threads,total,compute,communicate
256,1,66.606923,63.727931,2.878284
128,2,65.196106,63.996952,1.198606
64,4,64.878199,64.196124,0.681419
32,8,64.900524,64.330886,0.569165
16,16,64.945232,64.482556,0.462008
8,32,65.224453,64.804963,0.418660
4,64,66.010995,65.528347,0.481356
1024,1,24.715209,15.903686,8.811189
512,2,19.475106,16.040100,3.434503
256,4,17.861486,16.146290,1.714604
128,8,17.089606,16.280218,0.808935
64,16,17.107041,16.469024,0.637366
32,32,17.462584,16.814721,0.646823
16,64,18.407072,17.665089,0.740403
512,1,36.811908,31.776342,5.034908
256,2,33.995225,32.008502,1.986146
128,4,33.044569,32.149159,0.894827
64,8,32.916835,32.283796,0.632521
32,16,32.982209,32.458096,0.523551
16,32,33.304968,32.786146,0.518079
8,64,34.267175,33.671585,0.594801
128,1,129.322945,127.323020,1.998909
64,2,128.887552,127.806343,1.080189
32,4,128.905127,128.195197,0.709082
16,8,128.949263,128.432696,0.516149
8,16,129.084159,128.660576,0.422788
4,32,129.289288,128.933719,0.355047
2,64,130.071460,129.711573,0.359145
64,1,256.647448,254.709055,1.936876
32,2,256.807229,255.818970,0.987452
16,4,257.296979,256.341936,0.954098
8,8,257.142317,256.610670,0.531074
4,16,257.276038,256.919345,0.356217
2,32,257.510498,257.307258,0.202600
1,64,258.290925,258.251068,0.039103
8192,1,10.912625,2.004299,8.907221
4096,2,4.637744,2.076320,2.560251
2048,4,3.801132,2.165810,1.634808
1024,8,3.969714,2.247291,1.721884
512,16,4.212083,2.435156,1.776294
256,32,4.723114,2.772914,1.949383
128,64,4.854897,3.506614,1.345996
4096,1,12.500288,4.007397,8.491569
2048,2,6.727094,4.097516,2.628260
1024,4,5.810803,4.137836,1.672423
512,8,5.964457,4.229990,1.733856
256,16,6.198032,4.448288,1.749108
128,32,5.868821,4.784665,1.083114
64,64,6.782511,5.535868,1.245138
2048,1,16.364142,8.028859,8.333937
1024,2,14.042466,8.030645,6.011321
512,4,9.828281,8.109353,1.718347
256,8,9.957767,8.248304,1.708935
128,16,9.352520,8.451400,0.900496
64,32,9.620006,8.811948,0.806820
32,64,10.767361,9.618298,1.147667
